Land-use ID
100  100 !nx, ny
    6     93      3
    6     94      3
    6     95      3
    6     96      3
    6     97      3
    6     98      3
    6     99      3
    6    100      3
    7      1      1
    7      2      1
    7      3      1
    7      4      1
    7      5      1
    7      6      1
    7      7      1
    7      8      1
    7      9      1
    7     10      1
    7     11      1
    7     12      1
    7     13      1
    7     14      1
    7     15      1
    7     16      1
    7     17      1
    7     18      1
    7     19      1
    7     20      1
    7     21      1
    7     22      1
    7     23      1
    7     24      1
    7     25      2
    7     26      2
    7     27      2
    7     28      2
    7     29      2
    7     30      2
    7     31      2
    7     32      2
    7     33      1
    7     34      1
    7     35      1
    7     36      1
    7     37      1
    7     38      1
    7     39      1
    7     40      1
    7     41      1
    7     42      1
    7     43      1
    7     44      1
    7     45      1
    7     46      1
    7     47      1
    7     48      1
    7     49      1
    7     50      1
    7     51      1
    7     52      2
    7     53      2
    7     54      2
    7     55      2
    7     56      2
    7     57      1
    7     58      1
    7     59      1
    7     60      1
    7     61      1
    7     62      1
    7     63      1
    7     64      1
    7     65      1
    7     66      1
    7     67      1
    7     68      1
    7     69      1
    7     70      1
    7     71      1
    7     72      2
    7     73      2
    7     74      2
    7     75      2
    7     76      2
    7     77      2
    7     78      2
    7     79      2
    7     80      2
    7     81      2
    7     82      2
    7     83      2
    7     84      2
    7     85      2
    7     86      2
    7     87      2
    7     88      2
    7     89      3
    7     90      3
    7     91      3
    7     92      3
    7     93      3
    7     94      3
    7     95      3
    7     96      3
    7     97      3
    7     98      3
    7     99      3
    7    100      3
    8      1      1
    8      2      1
    8      3      1
    8      4      1
    8      5      1
    8      6      1
    8      7      1
    8      8      1
    8      9      1
    8     10      1
    8     11      1
    8     12      1
    8     13      1
    8     14      1
    8     15      1
    8     16      1
    8     17      1
    8     18      1
    8     19      1
    8     20      1
    8     21      1
    8     22      1
    8     23      1
    8     24      1
    8     25      2
    8     26      2
    8     27      2
    8     28      2
    8     29      2
    8     30      2
    8     31      2
    8     32      2
    8     33      1
    8     34      1
    8     35      1
    8     36      1
    8     37      1
    8     38      1
    8     39      1
    8     40      1
    8     41      1
    8     42      1
    8     43      1
    8     44      1
    8     45      1
    8     46      1
    8     47      1
    8     48      1
    8     49      1
    8     50      1
    8     51      1
    8     52      2
    8     53      2
    8     54      2
    8     55      2
    8     56      2
    8     57      1
    8     58      1
    8     59      1
    8     60      1
    8     61      1
    8     62      1
    8     63      1
    8     64      1
    8     65      1
    8     66      1
    8     67      1
    8     68      1
    8     69      1
    8     70      1
    8     71      1
    8     72      1
    8     73      2
    8     74      2
    8     75      2
    8     76      2
    8     77      2
    8     78      2
    8     79      2
    8     80      2
    8     81      2
    8     82      2
    8     83      2
    8     84      2
    8     85      2
    8     86      2
    8     87      2
    8     88      2
    8     89      3
    8     90      3
    8     91      3
    8     92      3
    8     93      3
    8     94      3
    8     95      3
    8     96      3
    8     97      3
    8     98      3
    8     99      3
    8    100      3
    9      1      1
    9      2      1
    9      3      1
    9      4      1
    9      5      1
    9      6      1
    9      7      1
    9      8      1
    9      9      1
    9     10      1
    9     11      1
    9     12      1
    9     13      1
    9     14      1
    9     15      1
    9     16      1
    9     17      1
    9     18      1
    9     19      1
    9     20      1
    9     21      1
    9     22      1
    9     23      1
    9     24      1
    9     25      2
    9     26      2
    9     27      2
    9     28      2
    9     29      2
    9     30      2
    9     31      2
    9     32      2
    9     33      1
    9     34      1
    9     35      1
    9     36      1
    9     37      1
    9     38      1
    9     39      1
    9     40      1
    9     41      1
    9     42      1
    9     43      1
    9     44      1
    9     45      1
    9     46      1
    9     47      1
    9     48      1
    9     49      1
    9     50      1
    9     51      1
    9     52      2
    9     53      2
    9     54      2
    9     55      2
    9     56      2
    9     57      1
    9     58      1
    9     59      1
    9     60      1
    9     61      1
    9     62      1
    9     63      1
    9     64      1
    9     65      1
    9     66      1
    9     67      1
    9     68      1
    9     69      1
    9     70      1
    9     71      1
    9     72      1
    9     73      1
    9     74      1
    9     75      2
    9     76      2
    9     77      2
    9     78      2
    9     79      2
    9     80      2
    9     81      2
    9     82      2
    9     83      2
    9     84      2
    9     85      2
    9     86      2
    9     87      2
    9     88      2
    9     89      3
    9     90      3
    9     91      3
    9     92      3
    9     93      3
    9     94      3
    9     95      3
    9     96      3
    9     97      3
    9     98      3
    9     99      3
    9    100      3
   10      1      1
   10      2      1
   10      3      1
   10      4      1
   10      5      1
   10      6      1
   10      7      1
   10      8      1
   10      9      1
   10     10      1
   10     11      1
   10     12      1
   10     13      1
   10     14      1
   10     15      1
   10     16      1
   10     17      1
   10     18      1
   10     19      1
   10     20      1
   10     21      1
   10     22      1
   10     23      1
   10     24      1
   10     25      2
   10     26      2
   10     27      2
   10     28      2
   10     29      2
   10     30      2
   10     31      2
   10     32      1
   10     33      1
   10     34      1
   10     35      1
   10     36      1
   10     37      1
   10     38      1
   10     39      1
   10     40      1
   10     41      1
   10     42      1
   10     43      1
   10     44      1
   10     45      1
   10     46      1
   10     47      1
   10     48      1
   10     49      1
   10     50      1
   10     51      1
   10     52      1
   10     53      2
   10     54      2
   10     55      1
   10     56      1
   10     57      1
   10     58      1
   10     59      1
   10     60      1
   10     61      1
   10     62      1
   10     63      1
   10     64      1
   10     65      1
   10     66      1
   10     67      1
   10     68      1
   10     69      1
   10     70      1
   10     71      1
   10     72      1
   10     73      1
   10     74      1
   10     75      1
   10     76      2
   10     77      2
   10     78      2
   10     79      2
   10     80      2
   10     81      2
   10     82      2
   10     83      2
   10     84      2
   10     85      1
   10     86      1
   10     87      1
   10     88      1
   10     89      1
   10     90      3
   10     91      3
   10     92      3
   10     93      3
   10     94      3
   10     95      3
   10     96      3
   10     97      3
   10     98      3
   10     99      3
   10    100      3
   11      1      1
   11      2      1
   11      3      1
   11      4      1
   11      5      1
   11      6      1
   11      7      1
   11      8      1
   11      9      1
   11     10      1
   11     11      1
   11     12      1
   11     13      1
   11     14      1
   11     15      1
   11     16      1
   11     17      1
   11     18      1
   11     19      1
   11     20      1
   11     21      1
   11     22      1
   11     23      1
   11     24      2
   11     25      2
   11     26      2
   11     27      2
   11     28      2
   11     29      2
   11     30      2
   11     31      1
   11     32      1
   11     33      1
   11     34      1
   11     35      1
   11     36      1
   11     37      1
   11     38      1
   11     39      1
   11     40      1
   11     41      1
   11     42      1
   11     43      1
   11     44      1
   11     45      1
   11     46      1
   11     47      1
   11     48      1
   11     49      1
   11     50      1
   11     51      1
   11     52      1
   11     53      1
   11     54      1
   11     55      1
   11     56      1
   11     57      1
   11     58      1
   11     59      1
   11     60      1
   11     61      1
   11     62      1
   11     63      1
   11     64      1
   11     65      1
   11     66      1
   11     67      1
   11     68      1
   11     69      1
   11     70      1
   11     71      1
   11     72      1
   11     73      1
   11     74      1
   11     75      1
   11     76      1
   11     77      2
   11     78      2
   11     79      2
   11     80      2
   11     81      1
   11     82      1
   11     83      1
   11     84      1
   11     85      1
   11     86      1
   11     87      1
   11     88      1
   11     89      1
   11     90      1
   11     91      1
   11     92      3
   11     93      3
   11     94      3
   11     95      3
   11     96      3
   11     97      3
   11     98      3
   11     99      1
   11    100      1
   12      1      1
   12      2      1
   12      3      1
   12      4      1
   12      5      1
   12      6      1
   12      7      1
   12      8      1
   12      9      1
   12     10      1
   12     11      1
   12     12      1
   12     13      1
   12     14      1
   12     15      1
   12     16      1
   12     17      1
   12     18      1
   12     19      1
   12     20      1
   12     21      1
   12     22      1
   12     23      2
   12     24      2
   12     25      2
   12     26      2
   12     27      2
   12     28      2
   12     29      2
   12     30      2
   12     31      1
   12     32      1
   12     33      1
   12     34      1
   12     35      1
   12     36      1
   12     37      1
   12     38      1
   12     39      1
   12     40      1
   12     41      1
   12     42      1
   12     43      1
   12     44      1
   12     45      1
   12     46      1
   12     47      1
   12     48      1
   12     49      1
   12     50      1
   12     51      1
   12     52      1
   12     53      1
   12     54      1
   12     55      1
   12     56      1
   12     57      1
   12     58      1
   12     59      1
   12     60      1
   12     61      1
   12     62      1
   12     63      1
   12     64      1
   12     65      1
   12     66      1
   12     67      1
   12     68      1
   12     69      1
   12     70      1
   12     71      1
   12     72      1
   12     73      1
   12     74      1
   12     75      1
   12     76      1
   12     77      1
   12     78      2
   12     79      2
   12     80      1
   12     81      1
   12     82      1
   12     83      1
   12     84      1
   12     85      1
   12     86      1
   12     87      1
   12     88      1
   12     89      1
   12     90      1
   12     91      1
   12     92      1
   12     93      3
   12     94      3
   12     95      3
   12     96      3
   12     97      3
   12     98      1
   12     99      1
   12    100      1
   13      1      1
   13      2      1
   13      3      1
   13      4      1
   13      5      1
   13      6      1
   13      7      1
   13      8      1
   13      9      1
   13     10      1
   13     11      1
   13     12      1
   13     13      1
   13     14      1
   13     15      1
   13     16      1
   13     17      1
   13     18      1
   13     19      1
   13     20      1
   13     21      1
   13     22      2
   13     23      2
   13     24      2
   13     25      2
   13     26      2
   13     27      2
   13     28      2
   13     29      2
   13     30      1
   13     31      1
   13     32      1
   13     33      1
   13     34      1
   13     35      1
   13     36      1
   13     37      1
   13     38      1
   13     39      1
   13     40      1
   13     41      1
   13     42      1
   13     43      1
   13     44      1
   13     45      1
   13     46      1
   13     47      1
   13     48      1
   13     49      1
   13     50      1
   13     51      1
   13     52      1
   13     53      1
   13     54      1
   13     55      1
   13     56      1
   13     57      1
   13     58      1
   13     59      1
   13     60      1
   13     61      1
   13     62      1
   13     63      1
   13     64      1
   13     65      1
   13     66      1
   13     67      1
   13     68      1
   13     69      1
   13     70      1
   13     71      1
   13     72      1
   13     73      1
   13     74      1
   13     75      1
   13     76      1
   13     77      1
   13     78      1
   13     79      1
   13     80      1
   13     81      1
   13     82      1
   13     83      1
   13     84      1
   13     85      1
   13     86      1
   13     87      1
   13     88      1
   13     89      1
   13     90      1
   13     91      1
   13     92      1
   13     93      3
   13     94      3
   13     95      1
   13     96      3
   13     97      1
   13     98      1
   13     99      1
   13    100      1
   14      1      1
   14      2      1
   14      3      1
   14      4      1
   14      5      1
   14      6      1
   14      7      1
   14      8      1
   14      9      1
   14     10      1
   14     11      1
   14     12      1
   14     13      1
   14     14      1
   14     15      1
   14     16      1
   14     17      1
   14     18      1
   14     19      2
   14     20      2
   14     21      2
   14     22      2
   14     23      2
   14     24      2
   14     25      2
   14     26      2
   14     27      2
   14     28      2
   14     29      2
   14     30      1
   14     31      1
   14     32      1
   14     33      1
   14     34      1
   14     35      1
   14     36      1
   14     37      1
   14     38      1
   14     39      1
   14     40      1
   14     41      1
   14     42      1
   14     43      1
   14     44      1
   14     45      1
   14     46      1
   14     47      1
   14     48      1
   14     49      1
   14     50      1
   14     51      1
   14     52      1
   14     53      1
   14     54      1
   14     55      1
   14     56      1
   14     57      1
   14     58      1
   14     59      1
   14     60      1
   14     61      1
   14     62      1
   14     63      1
   14     64      1
   14     65      1
   14     66      1
   14     67      1
   14     68      1
   14     69      1
   14     70      1
   14     71      1
   14     72      1
   14     73      1
   14     74      1
   14     75      1
   14     76      1
   14     77      1
   14     78      1
   14     79      1
   14     80      1
   14     81      1
   14     82      1
   14     83      1
   14     84      1
   14     85      1
   14     86      1
   14     87      1
   14     88      1
   14     89      1
   14     90      1
   14     91      1
   14     92      1
   14     93      1
   14     94      1
   14     95      1
   14     96      1
   14     97      1
   14     98      1
   14     99      1
   14    100      1
   15      1      1
   15      2      1
   15      3      1
   15      4      1
   15      5      1
   15      6      1
   15      7      1
   15      8      1
   15      9      1
   15     10      1
   15     11      1
   15     12      1
   15     13      1
   15     14      1
   15     15      1
   15     16      1
   15     17      1
   15     18      2
   15     19      2
   15     20      2
   15     21      2
   15     22      2
   15     23      2
   15     24      2
   15     25      2
   15     26      2
   15     27      2
   15     28      2
   15     29      2
   15     30      1
   15     31      1
   15     32      1
   15     33      1
   15     34      1
   15     35      1
   15     36      1
   15     37      1
   15     38      1
   15     39      1
   15     40      1
   15     41      1
   15     42      1
   15     43      1
   15     44      1
   15     45      1
   15     46      1
   15     47      1
   15     48      1
   15     49      1
   15     50      1
   15     51      1
   15     52      1
   15     53      1
   15     54      1
   15     55      1
   15     56      1
   15     57      1
   15     58      1
   15     59      1
   15     60      1
   15     61      1
   15     62      1
   15     63      1
   15     64      1
   15     65      1
   15     66      1
   15     67      1
   15     68      1
   15     69      1
   15     70      1
   15     71      1
   15     72      1
   15     73      1
   15     74      1
   15     75      1
   15     76      1
   15     77      1
   15     78      1
   15     79      1
   15     80      1
   15     81      1
   15     82      1
   15     83      1
   15     84      1
   15     85      1
   15     86      1
   15     87      1
   15     88      1
   15     89      1
   15     90      1
   15     91      1
   15     92      1
   15     93      1
   15     94      1
   15     95      1
   15     96      1
   15     97      1
   15     98      1
   15     99      1
   15    100      1
   16      1      1
   16      2      1
   16      3      1
   16      4      1
   16      5      1
   16      6      1
   16      7      1
   16      8      1
   16      9      1
   16     10      1
   16     11      1
   16     12      1
   16     13      1
   16     14      1
   16     15      1
   16     16      1
   16     17      2
   16     18      2
   16     19      2
   16     20      2
   16     21      2
   16     22      2
   16     23      2
   16     24      2
   16     25      2
   16     26      2
   16     27      2
   16     28      2
   16     29      1
   16     30      1
   16     31      1
   16     32      1
   16     33      1
   16     34      1
   16     35      1
   16     36      1
   16     37      1
   16     38      1
   16     39      1
   16     40      1
   16     41      1
   16     42      1
   16     43      1
   16     44      1
   16     45      1
   16     46      1
   16     47      1
   16     48      1
   16     49      1
   16     50      1
   16     51      1
   16     52      1
   16     53      1
   16     54      1
   16     55      1
   16     56      1
   16     57      1
   16     58      1
   16     59      1
   16     60      1
   16     61      1
   16     62      1
   16     63      1
   16     64      1
   16     65      1
   16     66      1
   16     67      1
   16     68      1
   16     69      1
   16     70      1
   16     71      1
   16     72      1
   16     73      1
   16     74      1
   16     75      1
   16     76      1
   16     77      1
   16     78      1
   16     79      1
   16     80      1
   16     81      1
   16     82      1
   16     83      1
   16     84      1
   16     85      1
   16     86      1
   16     87      1
   16     88      1
   16     89      1
   16     90      1
   16     91      1
   16     92      1
   16     93      1
   16     94      1
   16     95      1
   16     96      1
   16     97      1
   16     98      1
   16     99      1
   16    100      1
   17      1      1
   17      2      1
   17      3      1
   17      4      1
   17      5      1
   17      6      1
   17      7      1
   17      8      1
   17      9      1
   17     10      1
   17     11      1
   17     12      1
   17     13      1
   17     14      1
   17     15      1
   17     16      1
   17     17      2
   17     18      2
   17     19      2
   17     20      2
   17     21      2
   17     22      2
   17     23      2
   17     24      2
   17     25      2
   17     26      2
   17     27      2
   17     28      2
   17     29      1
   17     30      1
   17     31      1
   17     32      1
   17     33      1
   17     34      1
   17     35      1
   17     36      1
   17     37      1
   17     38      1
   17     39      1
   17     40      1
   17     41      1
   17     42      1
   17     43      1
   17     44      1
   17     45      1
   17     46      1
   17     47      1
   17     48      1
   17     49      1
   17     50      1
   17     51      1
   17     52      1
   17     53      1
   17     54      1
   17     55      1
   17     56      1
   17     57      1
   17     58      1
   17     59      1
   17     60      1
   17     61      1
   17     62      1
   17     63      1
   17     64      1
   17     65      1
   17     66      1
   17     67      1
   17     68      1
   17     69      1
   17     70      1
   17     71      1
   17     72      1
   17     73      1
   17     74      1
   17     75      1
   17     76      1
   17     77      1
   17     78      1
   17     79      1
   17     80      1
   17     81      1
   17     82      1
   17     83      1
   17     84      1
   17     85      1
   17     86      1
   17     87      1
   17     88      1
   17     89      1
   17     90      1
   17     91      1
   17     92      1
   17     93      1
   17     94      1
   17     95      1
   17     96      1
   17     97      1
   17     98      1
   17     99      1
   17    100      1
   18      1      1
   18      2      1
   18      3      1
   18      4      1
   18      5      1
   18      6      1
   18      7      1
   18      8      1
   18      9      1
   18     10      1
   18     11      1
   18     12      1
   18     13      1
   18     14      1
   18     15      1
   18     16      1
   18     17      2
   18     18      2
   18     19      2
   18     20      2
   18     21      2
   18     22      2
   18     23      2
   18     24      2
   18     25      2
   18     26      2
   18     27      2
   18     28      1
   18     29      1
   18     30      1
   18     31      1
   18     32      1
   18     33      1
   18     34      1
   18     35      1
   18     36      1
   18     37      1
   18     38      1
   18     39      1
   18     40      1
   18     41      1
   18     42      1
   18     43      1
   18     44      1
   18     45      1
   18     46      1
   18     47      1
   18     48      1
   18     49      1
   18     50      1
   18     51      1
   18     52      1
   18     53      1
   18     54      1
   18     55      1
   18     56      1
   18     57      1
   18     58      1
   18     59      1
   18     60      1
   18     61      1
   18     62      1
   18     63      1
   18     64      1
   18     65      1
   18     66      1
   18     67      1
   18     68      1
   18     69      1
   18     70      1
   18     71      1
   18     72      1
   18     73      1
   18     74      1
   18     75      1
   18     76      1
   18     77      1
   18     78      1
   18     79      1
   18     80      1
   18     81      1
   18     82      1
   18     83      1
   18     84      1
   18     85      1
   18     86      1
   18     87      1
   18     88      1
   18     89      1
   18     90      1
   18     91      1
   18     92      1
   18     93      1
   18     94      1
   18     95      1
   18     96      1
   18     97      1
   18     98      1
   18     99      1
   18    100      1
   19      1      1
   19      2      1
   19      3      1
   19      4      1
   19      5      1
   19      6      1
   19      7      1
   19      8      1
   19      9      1
   19     10      1
   19     11      1
   19     12      1
   19     13      1
   19     14      1
   19     15      1
   19     16      1
   19     17      2
   19     18      2
   19     19      2
   19     20      2
   19     21      2
   19     22      2
   19     23      2
   19     24      2
   19     25      2
   19     26      2
   19     27      1
   19     28      1
   19     29      1
   19     30      1
   19     31      1
   19     32      1
   19     33      1
   19     34      1
   19     35      1
   19     36      1
   19     37      1
   19     38      1
   19     39      1
   19     40      1
   19     41      1
   19     42      1
   19     43      1
   19     44      1
   19     45      1
   19     46      1
   19     47      1
   19     48      1
   19     49      1
   19     50      1
   19     51      1
   19     52      1
   19     53      1
   19     54      1
   19     55      1
   19     56      1
   19     57      1
   19     58      1
   19     59      1
   19     60      1
   19     61      1
   19     62      1
   19     63      1
   19     64      1
   19     65      1
   19     66      1
   19     67      1
   19     68      1
   19     69      1
   19     70      1
   19     71      1
   19     72      1
   19     73      1
   19     74      1
   19     75      1
   19     76      1
   19     77      1
   19     78      1
   19     79      1
   19     80      1
   19     81      1
   19     82      1
   19     83      1
   19     84      1
   19     85      1
   19     86      1
   19     87      1
   19     88      1
   19     89      1
   19     90      1
   19     91      1
   19     92      1
   19     93      1
   19     94      1
   19     95      1
   19     96      1
   19     97      1
   19     98      1
   19     99      1
   19    100      1
   20      1      1
   20      2      1
   20      3      1
   20      4      1
   20      5      1
   20      6      1
   20      7      1
   20      8      1
   20      9      1
   20     10      1
   20     11      1
   20     12      1
   20     13      1
   20     14      1
   20     15      1
   20     16      1
   20     17      2
   20     18      2
   20     19      2
   20     20      2
   20     21      2
   20     22      2
   20     23      2
   20     24      2
   20     25      2
   20     26      2
   20     27      1
   20     28      1
   20     29      1
   20     30      1
   20     31      1
   20     32      1
   20     33      1
   20     34      1
   20     35      1
   20     36      1
   20     37      1
   20     38      1
   20     39      1
   20     40      1
   20     41      1
   20     42      1
   20     43      1
   20     44      1
   20     45      1
   20     46      1
   20     47      1
   20     48      1
   20     49      1
   20     50      1
   20     51      1
   20     52      1
   20     53      1
   20     54      1
   20     55      1
   20     56      1
   20     57      1
   20     58      1
   20     59      1
   20     60      1
   20     61      1
   20     62      1
   20     63      1
   20     64      1
   20     65      1
   20     66      1
   20     67      1
   20     68      1
   20     69      1
   20     70      1
   20     71      1
   20     72      1
   20     73      1
   20     74      1
   20     75      1
   20     76      1
   20     77      1
   20     78      1
   20     79      1
   20     80      1
   20     81      1
   20     82      1
   20     83      1
   20     84      1
   20     85      1
   20     86      1
   20     87      1
   20     88      1
   20     89      1
   20     90      1
   20     91      1
   20     92      1
